,0
0,"0, 0, Header, 1, 4, 480
"
1,"1, 0, Start_track
"
2,"1, 0, Tempo, 451127
"
3,"1, 0, Time_signature, 1, 2, 24, 8
"
4,"1, 0, Key_signature, 0, ""major""
"
5,"1, 480, Time_signature, 3, 2, 24, 8
"
6,"1, 10560, Time_signature, 2, 2, 24, 8
"
7,"1, 11520, Time_signature, 1, 2, 24, 8
"
8,"1, 12000, Time_signature, 3, 2, 24, 8
"
9,"1, 22080, Time_signature, 2, 2, 24, 8
"
10,"1, 23040, Time_signature, 1, 2, 24, 8
"
11,"1, 23520, Time_signature, 3, 2, 24, 8
"
12,"1, 73920, Time_signature, 2, 2, 24, 8
"
13,"1, 74880, Time_signature, 1, 2, 24, 8
"
14,"1, 75360, Time_signature, 3, 2, 24, 8
"
15,"1, 125760, Time_signature, 2, 2, 24, 8
"
16,"1, 126720, Time_signature, 1, 2, 24, 8
"
17,"1, 127200, Time_signature, 3, 2, 24, 8
"
18,"1, 137280, Time_signature, 2, 2, 24, 8
"
19,"1, 138240, Time_signature, 1, 2, 24, 8
"
20,"1, 138720, Time_signature, 3, 2, 24, 8
"
21,"1, 158880, Time_signature, 2, 2, 24, 8
"
22,"1, 159840, Time_signature, 1, 2, 24, 8
"
23,"1, 160320, Time_signature, 3, 2, 24, 8
"
24,"1, 180480, Time_signature, 2, 2, 24, 8
"
25,"1, 181440, Time_signature, 1, 2, 24, 8
"
26,"1, 181920, Time_signature, 3, 2, 24, 8
"
27,"1, 192000, Time_signature, 2, 2, 24, 8
"
28,"1, 192960, Time_signature, 1, 2, 24, 8
"
29,"1, 193440, Time_signature, 3, 2, 24, 8
"
30,"1, 203520, Time_signature, 2, 2, 24, 8
"
31,"1, 204480, Time_signature, 1, 2, 24, 8
"
32,"1, 204960, Time_signature, 3, 2, 24, 8
"
33,"1, 255360, Time_signature, 2, 2, 24, 8
"
34,"1, 255360, End_track
"
35,"2, 0, Start_track
"
36,"2, 0, Title_t, ""guitare nylon""
"
37,"2, 0, MIDI_port, 0
"
38,"2, 0, Channel_prefix, 1
"
39,"2, 0, Channel_prefix, 2
"
40,"2, 0, Control_c, 0, 100, 0
"
41,"2, 0, Control_c, 0, 101, 0
"
42,"2, 0, Control_c, 1, 100, 0
"
43,"2, 0, Control_c, 1, 101, 0
"
44,"2, 0, Control_c, 0, 7, 121
"
45,"2, 0, Control_c, 1, 7, 121
"
46,"2, 0, Control_c, 0, 10, 64
"
47,"2, 0, Control_c, 1, 10, 64
"
48,"2, 0, Control_c, 0, 93, 0
"
49,"2, 0, Control_c, 1, 93, 0
"
50,"2, 0, Control_c, 0, 91, 127
"
51,"2, 0, Control_c, 1, 91, 127
"
52,"2, 0, Program_c, 0, 24
"
53,"2, 0, Program_c, 1, 24
"
54,"2, 0, Control_c, 1, 6, 8
"
55,"2, 0, Note_on_c, 0, 76, 111
"
56,"2, 120, Note_off_c, 0, 76, 80
"
57,"2, 120, Note_on_c, 0, 71, 111
"
58,"2, 240, Note_off_c, 0, 71, 80
"
59,"2, 240, Note_on_c, 0, 80, 111
"
60,"2, 360, Note_off_c, 0, 80, 80
"
61,"2, 360, Note_on_c, 0, 76, 111
"
62,"2, 480, Note_off_c, 0, 76, 80
"
63,"2, 480, Note_on_c, 0, 83, 111
"
64,"2, 960, Note_off_c, 0, 83, 80
"
65,"2, 1440, Note_on_c, 0, 68, 111
"
66,"2, 1560, Note_off_c, 0, 68, 80
"
67,"2, 1560, Note_on_c, 0, 64, 111
"
68,"2, 1680, Note_off_c, 0, 64, 80
"
69,"2, 1680, Note_on_c, 0, 71, 111
"
70,"2, 1800, Note_off_c, 0, 71, 80
"
71,"2, 1800, Note_on_c, 0, 68, 111
"
72,"2, 1920, Note_off_c, 0, 68, 80
"
73,"2, 1920, Note_on_c, 0, 76, 111
"
74,"2, 2400, Note_off_c, 0, 76, 80
"
75,"2, 2880, Note_on_c, 0, 56, 127
"
76,"2, 3000, Note_off_c, 0, 56, 80
"
77,"2, 3000, Note_on_c, 0, 52, 111
"
78,"2, 3120, Note_off_c, 0, 52, 80
"
79,"2, 3120, Note_on_c, 0, 59, 111
"
80,"2, 3240, Note_off_c, 0, 59, 80
"
81,"2, 3240, Note_on_c, 0, 56, 127
"
82,"2, 3360, Note_off_c, 0, 56, 80
"
83,"2, 3360, Note_on_c, 0, 64, 111
"
84,"2, 3840, Note_off_c, 0, 64, 80
"
85,"2, 3840, Note_on_c, 0, 64, 111
"
86,"2, 3840, Note_on_c, 0, 58, 111
"
87,"2, 3840, Note_on_c, 0, 49, 111
"
88,"2, 4320, Note_off_c, 0, 64, 80
"
89,"2, 4320, Note_off_c, 0, 58, 80
"
90,"2, 4320, Note_off_c, 0, 49, 80
"
91,"2, 4320, Note_on_c, 0, 64, 111
"
92,"2, 4320, Note_on_c, 0, 61, 111
"
93,"2, 4320, Note_on_c, 0, 46, 127
"
94,"2, 4800, Note_off_c, 0, 64, 80
"
95,"2, 4800, Note_off_c, 0, 61, 80
"
96,"2, 4800, Note_off_c, 0, 46, 80
"
97,"2, 4800, Note_on_c, 0, 64, 111
"
98,"2, 4800, Note_on_c, 0, 61, 111
"
99,"2, 5280, Note_off_c, 0, 64, 80
"
100,"2, 5280, Note_off_c, 0, 61, 80
"
101,"2, 5280, Note_on_c, 0, 63, 111
"
102,"2, 5280, Note_on_c, 0, 59, 111
"
103,"2, 5760, Note_off_c, 0, 63, 80
"
104,"2, 5760, Note_off_c, 0, 59, 80
"
105,"2, 5760, Note_on_c, 0, 75, 111
"
106,"2, 5880, Note_off_c, 0, 75, 80
"
107,"2, 5880, Note_on_c, 0, 69, 111
"
108,"2, 6000, Note_off_c, 0, 69, 80
"
109,"2, 6000, Note_on_c, 0, 78, 111
"
110,"2, 6120, Note_off_c, 0, 78, 80
"
111,"2, 6120, Note_on_c, 0, 75, 111
"
112,"2, 6240, Note_off_c, 0, 75, 80
"
113,"2, 6240, Note_on_c, 0, 81, 111
"
114,"2, 6720, Note_off_c, 0, 81, 80
"
115,"2, 6720, Note_on_c, 0, 69, 111
"
116,"2, 6720, Note_on_c, 0, 63, 111
"
117,"2, 6720, Note_on_c, 0, 59, 111
"
118,"2, 6720, Note_on_c, 0, 47, 127
"
119,"2, 7200, Note_off_c, 0, 69, 80
"
120,"2, 7200, Note_off_c, 0, 63, 80
"
121,"2, 7200, Note_off_c, 0, 59, 80
"
122,"2, 7200, Note_off_c, 0, 47, 80
"
123,"2, 7200, Note_on_c, 0, 63, 111
"
124,"2, 7320, Note_off_c, 0, 63, 80
"
125,"2, 7320, Note_on_c, 0, 57, 111
"
126,"2, 7440, Note_off_c, 0, 57, 80
"
127,"2, 7440, Note_on_c, 0, 66, 111
"
128,"2, 7560, Note_off_c, 0, 66, 80
"
129,"2, 7560, Note_on_c, 0, 63, 111
"
130,"2, 7680, Note_off_c, 0, 63, 80
"
131,"2, 7680, Note_on_c, 0, 69, 111
"
132,"2, 8160, Note_off_c, 0, 69, 80
"
133,"2, 8160, Note_on_c, 0, 59, 111
"
134,"2, 8160, Note_on_c, 0, 57, 111
"
135,"2, 8160, Note_on_c, 0, 51, 111
"
136,"2, 8160, Note_on_c, 0, 47, 111
"
137,"2, 8640, Note_off_c, 0, 59, 80
"
138,"2, 8640, Note_off_c, 0, 57, 80
"
139,"2, 8640, Note_off_c, 0, 51, 80
"
140,"2, 8640, Note_off_c, 0, 47, 80
"
141,"2, 8640, Note_on_c, 0, 57, 111
"
142,"2, 8760, Note_off_c, 0, 57, 80
"
143,"2, 8760, Note_on_c, 0, 54, 111
"
144,"2, 8880, Note_off_c, 0, 54, 80
"
145,"2, 8880, Note_on_c, 0, 59, 111
"
146,"2, 9000, Note_off_c, 0, 59, 80
"
147,"2, 9000, Note_on_c, 0, 57, 83
"
148,"2, 9120, Note_off_c, 0, 57, 80
"
149,"2, 9120, Note_on_c, 0, 63, 111
"
150,"2, 9600, Note_off_c, 0, 63, 80
"
151,"2, 9600, Note_on_c, 0, 63, 111
"
152,"2, 9600, Note_on_c, 0, 57, 111
"
153,"2, 9600, Note_on_c, 0, 54, 111
"
154,"2, 9600, Note_on_c, 0, 47, 127
"
155,"2, 10080, Note_off_c, 0, 63, 80
"
156,"2, 10080, Note_off_c, 0, 57, 80
"
157,"2, 10080, Note_off_c, 0, 54, 80
"
158,"2, 10080, Note_off_c, 0, 47, 80
"
159,"2, 10080, Note_on_c, 0, 63, 111
"
160,"2, 10080, Note_on_c, 0, 57, 111
"
161,"2, 10080, Note_on_c, 0, 54, 111
"
162,"2, 10080, Note_on_c, 0, 47, 127
"
163,"2, 10560, Note_off_c, 0, 63, 80
"
164,"2, 10560, Note_off_c, 0, 57, 80
"
165,"2, 10560, Note_off_c, 0, 54, 80
"
166,"2, 10560, Note_off_c, 0, 47, 80
"
167,"2, 10560, Note_on_c, 0, 66, 111
"
168,"2, 10560, Note_on_c, 0, 57, 111
"
169,"2, 11040, Note_off_c, 0, 66, 80
"
170,"2, 11040, Note_off_c, 0, 57, 80
"
